# Formula "1freq_rwa" with E0 = 120.0, T = 50, w_L = 5.9325, w_d = 5.9325
#               time [ns]           Re(ampl) [MHz]           Im(ampl) [MHz]
  1.25062531265632809E-02  2.66746236049497654E-05  0.00000000000000000E+00
  3.75187593796898478E-02  2.40073325390999237E-04  0.00000000000000000E+00
  6.25312656328164129E-02  6.66879864550384838E-04  0.00000000000000000E+00
  8.75437718859429781E-02  1.30711251174475684E-03  0.00000000000000000E+00
  1.12556278139069543E-01  2.16079867160601236E-03  0.00000000000000000E+00
  1.37568784392196108E-01  3.22797488116088882E-03  0.00000000000000000E+00
  1.62581290645322674E-01  4.50868680768934382E-03  0.00000000000000000E+00
  1.87593796898449239E-01  6.00298924602671313E-03  0.00000000000000000E+00
  2.12606303151575804E-01  7.71094611539291375E-03  0.00000000000000000E+00
  2.37618809404702369E-01  9.63263045563877984E-03  0.00000000000000000E+00
  2.62631315657828934E-01  1.17681244229494997E-02  0.00000000000000000E+00
  2.87643821910955499E-01  1.41175192850701015E-02  0.00000000000000000E+00
  3.12656328164082065E-01  1.66809154159347495E-02  0.00000000000000000E+00
  3.37668834417208630E-01  1.94584222898164239E-02  0.00000000000000000E+00
  3.62681340670335195E-01  2.24501584749003946E-02  0.00000000000000000E+00
  3.87693846923461760E-01  2.56562516263497686E-02  0.00000000000000000E+00
  4.12706353176588325E-01  2.90768384788231415E-02  0.00000000000000000E+00
  4.37718859429714890E-01  3.27120648384843227E-02  0.00000000000000000E+00
  4.62731365682841456E-01  3.65620855744541728E-02  0.00000000000000000E+00
  4.87743871935968021E-01  4.06270646097395272E-02  0.00000000000000000E+00
  5.12756378189094586E-01  4.49071749116408681E-02  0.00000000000000000E+00
  5.37768884442221151E-01  4.94025984816137687E-02  0.00000000000000000E+00
  5.62781390695347716E-01  5.41135263446057557E-02  0.00000000000000000E+00
  5.87793896948474281E-01  5.90401585378835803E-02  0.00000000000000000E+00
  6.12806403201600847E-01  6.41827040992776210E-02  0.00000000000000000E+00
  6.37818909454727412E-01  6.95413810549833089E-02  0.00000000000000000E+00
  6.62831415707853977E-01  7.51164164067147366E-02  0.00000000000000000E+00
  6.87843921960980542E-01  8.09080461184735755E-02  0.00000000000000000E+00
  7.12856428214107107E-01  8.69165151026685123E-02  0.00000000000000000E+00
  7.37868934467233673E-01  9.31420772057633961E-02  0.00000000000000000E+00
  7.62881440720360238E-01  9.95849951934008049E-02  0.00000000000000000E+00
  7.87893946973486803E-01  1.06245540734992705E-01  0.00000000000000000E+00
