#    row  column                  Re(val)                  Im(val)
       1       2   5.0000000000000000E-01   0.0000000000000000E+00
       2       3   7.0710678118654757E-01   0.0000000000000000E+00
       3       4   8.6602540378443860E-01   0.0000000000000000E+00
       4       5   1.0000000000000000E+00   0.0000000000000000E+00
       5       6   1.1180339887498949E+00   0.0000000000000000E+00
       7       8   5.0000000000000000E-01   0.0000000000000000E+00
       8       9   7.0710678118654757E-01   0.0000000000000000E+00
       9      10   8.6602540378443860E-01   0.0000000000000000E+00
      10      11   1.0000000000000000E+00   0.0000000000000000E+00
      11      12   1.1180339887498949E+00   0.0000000000000000E+00
      13      14   5.0000000000000000E-01   0.0000000000000000E+00
      14      15   7.0710678118654757E-01   0.0000000000000000E+00
      15      16   8.6602540378443860E-01   0.0000000000000000E+00
      16      17   1.0000000000000000E+00   0.0000000000000000E+00
      17      18   1.1180339887498949E+00   0.0000000000000000E+00
      19      20   5.0000000000000000E-01   0.0000000000000000E+00
      20      21   7.0710678118654757E-01   0.0000000000000000E+00
      21      22   8.6602540378443860E-01   0.0000000000000000E+00
      22      23   1.0000000000000000E+00   0.0000000000000000E+00
      23      24   1.1180339887498949E+00   0.0000000000000000E+00
      25      26   5.0000000000000000E-01   0.0000000000000000E+00
      26      27   7.0710678118654757E-01   0.0000000000000000E+00
      27      28   8.6602540378443860E-01   0.0000000000000000E+00
      28      29   1.0000000000000000E+00   0.0000000000000000E+00
      29      30   1.1180339887498949E+00   0.0000000000000000E+00
      31      32   5.0000000000000000E-01   0.0000000000000000E+00
      32      33   7.0710678118654757E-01   0.0000000000000000E+00
      33      34   8.6602540378443860E-01   0.0000000000000000E+00
      34      35   1.0000000000000000E+00   0.0000000000000000E+00
      35      36   1.1180339887498949E+00   0.0000000000000000E+00
      37      38   5.0000000000000000E-01   0.0000000000000000E+00
      38      39   7.0710678118654757E-01   0.0000000000000000E+00
      39      40   8.6602540378443860E-01   0.0000000000000000E+00
      40      41   1.0000000000000000E+00   0.0000000000000000E+00
      41      42   1.1180339887498949E+00   0.0000000000000000E+00
      43      44   5.0000000000000000E-01   0.0000000000000000E+00
      44      45   7.0710678118654757E-01   0.0000000000000000E+00
      45      46   8.6602540378443860E-01   0.0000000000000000E+00
      46      47   1.0000000000000000E+00   0.0000000000000000E+00
      47      48   1.1180339887498949E+00   0.0000000000000000E+00
      49      50   5.0000000000000000E-01   0.0000000000000000E+00
      50      51   7.0710678118654757E-01   0.0000000000000000E+00
      51      52   8.6602540378443860E-01   0.0000000000000000E+00
      52      53   1.0000000000000000E+00   0.0000000000000000E+00
      53      54   1.1180339887498949E+00   0.0000000000000000E+00
      55      56   5.0000000000000000E-01   0.0000000000000000E+00
      56      57   7.0710678118654757E-01   0.0000000000000000E+00
      57      58   8.6602540378443860E-01   0.0000000000000000E+00
      58      59   1.0000000000000000E+00   0.0000000000000000E+00
      59      60   1.1180339887498949E+00   0.0000000000000000E+00
      61      62   5.0000000000000000E-01   0.0000000000000000E+00
      62      63   7.0710678118654757E-01   0.0000000000000000E+00
      63      64   8.6602540378443860E-01   0.0000000000000000E+00
      64      65   1.0000000000000000E+00   0.0000000000000000E+00
      65      66   1.1180339887498949E+00   0.0000000000000000E+00
