# Formula "1freq_rwa" with E0 = 100.0, T = 50, w_L = 5.9325, w_d = 5.9325
#               time [ns]           Re(ampl) [MHz]           Im(ampl) [MHz]
  1.25062531265632809E-02  2.22288530041248045E-05  0.00000000000000000E+00
  3.75187593796898478E-02  2.00061104492499364E-04  0.00000000000000000E+00
  6.25312656328164129E-02  5.55733220458654031E-04  0.00000000000000000E+00
  8.75437718859429781E-02  1.08926042645396404E-03  0.00000000000000000E+00
  1.12556278139069543E-01  1.80066555967167696E-03  0.00000000000000000E+00
  1.37568784392196108E-01  2.68997906763407402E-03  0.00000000000000000E+00
  1.62581290645322674E-01  3.75723900640778652E-03  0.00000000000000000E+00
  1.87593796898449239E-01  5.00249103835559428E-03  0.00000000000000000E+00
  2.12606303151575804E-01  6.42578842949409479E-03  0.00000000000000000E+00
  2.37618809404702369E-01  8.02719204636564987E-03  0.00000000000000000E+00
  2.62631315657828934E-01  9.80677035245791640E-03  0.00000000000000000E+00
  2.87643821910955499E-01  1.17645994042250845E-02  0.00000000000000000E+00
  3.12656328164082065E-01  1.39007628466122912E-02  0.00000000000000000E+00
  3.37668834417208630E-01  1.62153519081803532E-02  0.00000000000000000E+00
  3.62681340670335195E-01  1.87084653957503289E-02  0.00000000000000000E+00
  3.87693846923461760E-01  2.13802096886248072E-02  0.00000000000000000E+00
  4.12706353176588325E-01  2.42306987323526180E-02  0.00000000000000000E+00
  4.37718859429714890E-01  2.72600540320702689E-02  0.00000000000000000E+00
  4.62731365682841456E-01  3.04684046453784774E-02  0.00000000000000000E+00
  4.87743871935968021E-01  3.38558871747829393E-02  0.00000000000000000E+00
  5.12756378189094586E-01  3.74226457597007234E-02  0.00000000000000000E+00
  5.37768884442221151E-01  4.11688320680114739E-02  0.00000000000000000E+00
  5.62781390695347716E-01  4.50946052871714631E-02  0.00000000000000000E+00
  5.87793896948474281E-01  4.92001321149029835E-02  0.00000000000000000E+00
  6.12806403201600847E-01  5.34855867493980175E-02  0.00000000000000000E+00
  6.37818909454727412E-01  5.79511508791527574E-02  0.00000000000000000E+00
  6.62831415707853977E-01  6.25970136722622805E-02  0.00000000000000000E+00
