#    row  column                  Re(val)                  Im(val)
       2       2   2.6750000000000000E+02   0.0000000000000000E+00
       2       7   7.0000000000000000E+01   0.0000000000000000E+00
       2      31   7.0000000000000000E+01   0.0000000000000000E+00
       3       3   5.3500000000000011E+02   0.0000000000000000E+00
       3       8   9.8994949366116657E+01   0.0000000000000000E+00
       3      32   9.8994949366116657E+01   0.0000000000000000E+00
       4       4   8.0249999999999989E+02   0.0000000000000000E+00
       4       9   1.2124355652982140E+02   0.0000000000000000E+00
       4      33   1.2124355652982140E+02   0.0000000000000000E+00
       5       5   1.0700000000000000E+03   0.0000000000000000E+00
       5      10   1.4000000000000000E+02   0.0000000000000000E+00
       5      34   1.4000000000000000E+02   0.0000000000000000E+00
       6       6   1.3375000000000002E+03   0.0000000000000000E+00
       6      11   1.5652475842498529E+02   0.0000000000000000E+00
       6      35   1.5652475842498529E+02   0.0000000000000000E+00
       7       2   7.0000000000000000E+01   0.0000000000000000E+00
       7       7  -3.2500000000000000E+01   0.0000000000000000E+00
       8       3   9.8994949366116657E+01   0.0000000000000000E+00
       8       8   2.3500000000000000E+02   0.0000000000000000E+00
       8      13   9.8994949366116657E+01   0.0000000000000000E+00
       8      37   7.0000000000000000E+01   0.0000000000000000E+00
       9       4   1.2124355652982140E+02   0.0000000000000000E+00
       9       9   5.0250000000000011E+02   0.0000000000000000E+00
       9      14   1.4000000000000003E+02   0.0000000000000000E+00
       9      38   9.8994949366116657E+01   0.0000000000000000E+00
      10       5   1.4000000000000000E+02   0.0000000000000000E+00
      10      10   7.6999999999999989E+02   0.0000000000000000E+00
      10      15   1.7146428199482247E+02   0.0000000000000000E+00
      10      39   1.2124355652982140E+02   0.0000000000000000E+00
      11       6   1.5652475842498529E+02   0.0000000000000000E+00
      11      11   1.0375000000000000E+03   0.0000000000000000E+00
      11      16   1.9798989873223331E+02   0.0000000000000000E+00
      11      40   1.4000000000000000E+02   0.0000000000000000E+00
      12      12   1.3050000000000002E+03   0.0000000000000000E+00
      12      17   2.2135943621178657E+02   0.0000000000000000E+00
      12      41   1.5652475842498529E+02   0.0000000000000000E+00
      13       8   9.8994949366116657E+01   0.0000000000000000E+00
      13      13  -3.7500000000000006E+02   0.0000000000000000E+00
      14       9   1.4000000000000003E+02   0.0000000000000000E+00
      14      14  -1.0750000000000006E+02   0.0000000000000000E+00
      14      19   1.2124355652982140E+02   0.0000000000000000E+00
      14      43   7.0000000000000000E+01   0.0000000000000000E+00
      15      10   1.7146428199482247E+02   0.0000000000000000E+00
      15      15   1.6000000000000006E+02   0.0000000000000000E+00
      15      20   1.7146428199482247E+02   0.0000000000000000E+00
      15      44   9.8994949366116657E+01   0.0000000000000000E+00
      16      11   1.9798989873223331E+02   0.0000000000000000E+00
      16      16   4.2749999999999983E+02   0.0000000000000000E+00
      16      21   2.0999999999999997E+02   0.0000000000000000E+00
      16      45   1.2124355652982140E+02   0.0000000000000000E+00
      17      12   2.2135943621178657E+02   0.0000000000000000E+00
      17      17   6.9500000000000000E+02   0.0000000000000000E+00
      17      22   2.4248711305964281E+02   0.0000000000000000E+00
      17      46   1.4000000000000000E+02   0.0000000000000000E+00
      18      18   9.6250000000000023E+02   0.0000000000000000E+00
      18      23   2.7110883423451918E+02   0.0000000000000000E+00
      18      47   1.5652475842498529E+02   0.0000000000000000E+00
      19      14   1.2124355652982140E+02   0.0000000000000000E+00
      19      19  -1.0275000000000000E+03   0.0000000000000000E+00
      20      15   1.7146428199482247E+02   0.0000000000000000E+00
      20      20  -7.6000000000000000E+02   0.0000000000000000E+00
      20      25   1.4000000000000000E+02   0.0000000000000000E+00
      20      49   7.0000000000000000E+01   0.0000000000000000E+00
      21      16   2.0999999999999997E+02   0.0000000000000000E+00
      21      21  -4.9249999999999989E+02   0.0000000000000000E+00
      21      26   1.9798989873223331E+02   0.0000000000000000E+00
      21      50   9.8994949366116657E+01   0.0000000000000000E+00
      22      17   2.4248711305964281E+02   0.0000000000000000E+00
      22      22  -2.2500000000000011E+02   0.0000000000000000E+00
      22      27   2.4248711305964281E+02   0.0000000000000000E+00
      22      51   1.2124355652982140E+02   0.0000000000000000E+00
      23      18   2.7110883423451918E+02   0.0000000000000000E+00
      23      23   4.2500000000000000E+01   0.0000000000000000E+00
      23      28   2.8000000000000000E+02   0.0000000000000000E+00
      23      52   1.4000000000000000E+02   0.0000000000000000E+00
      24      24   3.1000000000000023E+02   0.0000000000000000E+00
      24      29   3.1304951684997059E+02   0.0000000000000000E+00
      24      53   1.5652475842498529E+02   0.0000000000000000E+00
