# OCT iter       1519;   J_T =   5.984794090181E-03;   pulse_id =          1
# converged
#               time [ns]           Re(ampl) [MHz]           Im(ampl) [MHz]
  1.25062531265632809E-02  2.09908224229159897E-02  1.53119900015334567E-02
  3.75187593796898408E-02  1.86093398352327077E-01  1.40058582821472016E-01
  6.25312656328163990E-02  5.08694698906009712E-01  3.94566506686767626E-01
  8.75437718859429642E-02  9.80191486209646246E-01  7.82710299484008498E-01
  1.12556278139069529E-01  1.59134979341560756E+00  1.30694403518686952E+00
  1.37568784392196081E-01  2.33238001333829148E+00  1.96831078948415428E+00
  1.62581290645322646E-01  3.19301540924005156E+00  2.76646249084406648E+00
  1.87593796898449211E-01  4.16259350873785472E+00  3.69969010424668365E+00
  2.12606303151575776E-01  5.23013979908431637E+00  4.76496401028075223E+00
  2.37618809404702341E-01  6.38445310409037692E+00  5.95798435515710079E+00
  2.62631315657828879E-01  7.61419199041720507E+00  7.27324105835353940E+00
  2.87643821910955444E-01  8.90796152452616141E+00  8.70408307508413692E+00
  3.12656328164082009E-01  1.02543996818129610E+01  1.02427964216691301E+01
  3.37668834417208574E-01  1.16422626968566281E+01  1.18806903843247973E+01
  3.62681340670335139E-01  1.30605086386724043E+01  1.36081912470974817E+01
  3.87693846923461705E-01  1.44983784976583046E+01  1.54149427938540065E+01
  4.12706353176588270E-01  1.59454740817496141E+01  1.72899127636346925E+01
  4.37718859429714835E-01  1.73918320382117884E+01  1.92215043694619006E+01
  4.62731365682841400E-01  1.88279933444870835E+01  2.11976719290139677E+01
  4.87743871935967965E-01  2.02450676464219654E+01  2.32060396024744797E+01
  5.12756378189094475E-01  2.16347918648226063E+01  2.52340221892955512E+01
  5.37768884442221040E-01  2.29895825412813011E+01  2.72689469023979321E+01
  5.62781390695347605E-01  2.43025814511888605E+01  2.92981750161531629E+01
  5.87793896948474170E-01  2.55676940752782507E+01  3.13092222738807564E+01
  6.12806403201600736E-01  2.67796205903624767E+01  3.32898769419137821E+01
  6.37818909454727301E-01  2.79338791144308658E+01  3.52283144107469894E+01
  6.62831415707853866E-01  2.90268210202074819E+01  3.71132072693841835E+01
  6.87843921960980431E-01  3.00556382137419753E+01  3.89338298166546650E+01
  7.12856428214106996E-01  3.10183623596625786E+01  4.06801560226223913E+01
  7.37868934467233561E-01  3.19138561212992862E+01  4.23429500138362940E+01
  7.62881440720360127E-01  3.27417965708307150E+01  4.39138482274525899E+01
  7.87893946973486692E-01  3.35026510106935547E+01  4.53854324604530817E+01
  8.12906453226613257E-01  3.41976455314409478E+01  4.67512931304052870E+01
  8.37918959479739822E-01  3.48287267117178700E+01  4.80060821625047183E+01
  8.62931465732866387E-01  3.53985169417219154E+01  4.91455550228911733E+01
  8.87943971985992953E-01  3.59102639211362842E+01  5.01666015292939704E+01
  9.12956478239119518E-01  3.63677849448323300E+01  5.10672651856863240E+01
  9.37968984492246083E-01  3.67754066435321008E+01  5.18467509065289036E+01
  9.62981490745372648E-01  3.71379008911291919E+01  5.25054211170255769E+01
  9.87993996998499213E-01  3.74604176246976053E+01  5.30447803372179436E+01
  1.01300650325162578E+00  3.77484153468405239E+01  5.34674484783762196E+01
  1.03801900950475234E+00  3.80075900925995782E+01  5.37771231985593232E+01
  1.06303151575787891E+00  3.82438036446357685E+01  5.39785317791115347E+01
  1.08804402201100547E+00  3.84630117709963528E+01  5.40773730938301327E+01
  1.11305652826413204E+00  3.86711932399991056E+01  5.40802503462994011E+01
  1.13806903451725860E+00  3.88742803372791741E+01  5.39945953471290849E+01
  1.16308154077038517E+00  3.90780915718286650E+01  5.38285851903998065E+01
  1.18809404702351173E+00  3.92882672119729577E+01  5.35910522662947386E+01
  1.21310655327663830E+00  3.95102082399405958E+01  5.32913886137270154E+01
  1.23811905952976486E+00  3.97490192562789133E+01  5.29394456717469808E+01
  1.26313156578289143E+00  4.00094558041758717E+01  5.25454305309184448E+01
  1.28814407203601800E+00  4.02958765200692071E+01  5.21197998149780588E+01
  1.31315657828914456E+00  4.06122004519705655E+01  5.16731523385466502E+01
