# Wed Mar 15 16:26:46 -0700 2017
# lambda_a =    1.000000E+00; lambda_intens =    0.000000E+00; lambda_b =    0.000000E+00
# it.                 J_T             g_a_int             g_b_int                   J           Delta_J_T             Delta J sec/it
    0  9.203260961015E-04  0.000000000000E+00  0.000000000000E+00  9.203260961015E-04  9.203260961015E-04  9.203260961015E-04      0
    1  9.156758788839E-04  2.326106487700E-06  0.000000000000E+00  9.180019853716E-04 -4.650217217628E-06 -2.324110729928E-06      2
# Wed Mar 15 16:26:49 -0700 2017
# lambda_a =    5.000000E-01; lambda_intens =    0.000000E+00; lambda_b =    0.000000E+00
# it.                 J_T             g_a_int             g_b_int                   J           Delta_J_T             Delta J sec/it
    0  9.203260961015E-04  0.000000000000E+00  0.000000000000E+00  9.203260961015E-04  9.203260961015E-04  9.203260961015E-04      0
    1  9.160416829166E-04  2.143181158875E-06  0.000000000000E+00  9.181848640755E-04 -4.284413184896E-06 -2.141232026021E-06      2
# Wed Mar 15 16:26:51 -0700 2017
# lambda_a =    2.500000E-01; lambda_intens =    0.000000E+00; lambda_b =    0.000000E+00
# it.                 J_T             g_a_int             g_b_int                   J           Delta_J_T             Delta J sec/it
    0  9.203260961015E-04  0.000000000000E+00  0.000000000000E+00  9.203260961015E-04  9.203260961015E-04  9.203260961015E-04      0
    1  9.164432466970E-04  1.941394368011E-06  0.000000000000E+00  9.183846410651E-04 -3.882849404446E-06 -1.941455036435E-06      2
# Wed Mar 15 16:26:54 -0700 2017
# lambda_a =    1.250000E-01; lambda_intens =    0.000000E+00; lambda_b =    0.000000E+00
# it.                 J_T             g_a_int             g_b_int                   J           Delta_J_T             Delta J sec/it
    0  9.203260961015E-04  0.000000000000E+00  0.000000000000E+00  9.203260961015E-04  9.203260961015E-04  9.203260961015E-04      0
    1  9.168776743295E-04  1.720708525291E-06  0.000000000000E+00  9.185983828548E-04 -3.448421772023E-06 -1.727713246732E-06      2
# Wed Mar 15 16:26:57 -0700 2017
# lambda_a =    6.250000E-02; lambda_intens =    0.000000E+00; lambda_b =    0.000000E+00
# it.                 J_T             g_a_int             g_b_int                   J           Delta_J_T             Delta J sec/it
