#    row  column                  Re(val)                  Im(val)
       2       1   5.0000000000000000E-01  -0.0000000000000000E+00
       3       2   7.0710678118654757E-01  -0.0000000000000000E+00
       4       3   8.6602540378443860E-01  -0.0000000000000000E+00
       5       4   1.0000000000000000E+00  -0.0000000000000000E+00
       6       5   1.1180339887498949E+00  -0.0000000000000000E+00
       8       7   5.0000000000000000E-01  -0.0000000000000000E+00
       9       8   7.0710678118654757E-01  -0.0000000000000000E+00
      10       9   8.6602540378443860E-01  -0.0000000000000000E+00
      11      10   1.0000000000000000E+00  -0.0000000000000000E+00
      12      11   1.1180339887498949E+00  -0.0000000000000000E+00
      14      13   5.0000000000000000E-01  -0.0000000000000000E+00
      15      14   7.0710678118654757E-01  -0.0000000000000000E+00
      16      15   8.6602540378443860E-01  -0.0000000000000000E+00
      17      16   1.0000000000000000E+00  -0.0000000000000000E+00
      18      17   1.1180339887498949E+00  -0.0000000000000000E+00
      20      19   5.0000000000000000E-01  -0.0000000000000000E+00
      21      20   7.0710678118654757E-01  -0.0000000000000000E+00
      22      21   8.6602540378443860E-01  -0.0000000000000000E+00
      23      22   1.0000000000000000E+00  -0.0000000000000000E+00
      24      23   1.1180339887498949E+00  -0.0000000000000000E+00
      26      25   5.0000000000000000E-01  -0.0000000000000000E+00
      27      26   7.0710678118654757E-01  -0.0000000000000000E+00
      28      27   8.6602540378443860E-01  -0.0000000000000000E+00
      29      28   1.0000000000000000E+00  -0.0000000000000000E+00
      30      29   1.1180339887498949E+00  -0.0000000000000000E+00
      32      31   5.0000000000000000E-01  -0.0000000000000000E+00
      33      32   7.0710678118654757E-01  -0.0000000000000000E+00
      34      33   8.6602540378443860E-01  -0.0000000000000000E+00
      35      34   1.0000000000000000E+00  -0.0000000000000000E+00
      36      35   1.1180339887498949E+00  -0.0000000000000000E+00
      38      37   5.0000000000000000E-01  -0.0000000000000000E+00
      39      38   7.0710678118654757E-01  -0.0000000000000000E+00
      40      39   8.6602540378443860E-01  -0.0000000000000000E+00
      41      40   1.0000000000000000E+00  -0.0000000000000000E+00
      42      41   1.1180339887498949E+00  -0.0000000000000000E+00
      44      43   5.0000000000000000E-01  -0.0000000000000000E+00
      45      44   7.0710678118654757E-01  -0.0000000000000000E+00
      46      45   8.6602540378443860E-01  -0.0000000000000000E+00
      47      46   1.0000000000000000E+00  -0.0000000000000000E+00
      48      47   1.1180339887498949E+00  -0.0000000000000000E+00
      50      49   5.0000000000000000E-01  -0.0000000000000000E+00
      51      50   7.0710678118654757E-01  -0.0000000000000000E+00
      52      51   8.6602540378443860E-01  -0.0000000000000000E+00
