#       x [dimensionless]               E_01 [MHz]               E_10 [MHz]               E_11 [MHz]               E_20 [MHz]               E_02 [MHz]              E_cav [MHz]                 w1 [MHz]                 w2 [MHz]                 wc [MHz]
  -1.0000000000000000E+01   5.9074203330162272E+03   6.0074042485177197E+03   1.1916072102832259E+04   1.1731712545639290E+04   1.1520376518734040E+04   5.2851754184661550E+03   6.0000000000000000E+03   5.9000000000000000E+03   5.3000000000000000E+03
  -9.7979797979797976E+00   5.9075797764376939E+03   6.0075632774357982E+03   1.1916454139648373E+04   1.1732386149445165E+04   1.1521664951109839E+04   5.2989983602679222E+03   6.0000000000000000E+03   5.9000000000000000E+03   5.3141414141414143E+03
  -9.5959595959595951E+00   5.9077460860149295E+03   6.0077291709591736E+03   1.1916854735080451E+04   1.1733100819909967E+04   1.1523057558761073E+04   5.3128075713088765E+03   6.0000000000000000E+03   5.9000000000000000E+03   5.3282828282828286E+03
  -9.3939393939393945E+00   5.9079197053259559E+03   6.0079023754864829E+03   1.1917275265912314E+04   1.1733860208294653E+04   1.1524566100931646E+04   5.3266021616119397E+03   6.0000000000000000E+03   5.9000000000000000E+03   5.3424242424242420E+03
  -9.1919191919191920E+00   5.9081011160563976E+03   6.0080833762538468E+03   1.1917717246980936E+04   1.1734668379780989E+04   1.1526203911094870E+04   5.3403811642554138E+03   6.0000000000000000E+03   5.9000000000000000E+03   5.3565656565656564E+03
  -8.9898989898989896E+00   5.9082908420640379E+03   6.0082727015669079E+03   1.1918182348628419E+04   1.1735529867904886E+04   1.1527986106307690E+04   5.3541435270762449E+03   6.0000000000000000E+03   5.9000000000000000E+03   5.3707070707070707E+03
  -8.7878787878787872E+00   5.9084894539564593E+03   6.0084709275858413E+03   1.1918672416807050E+04   1.1736449736448361E+04   1.1529929811824028E+04   5.3678881033061843E+03   6.0000000000000000E+03   5.9000000000000000E+03   5.3848484848484850E+03
  -8.5858585858585865E+00   5.9086975742573704E+03   6.0086786837494437E+03   1.1919189496305575E+04   1.1737433649620405E+04   1.1532054394323553E+04   5.3816136409832179E+03   6.0000000000000000E+03   5.9000000000000000E+03   5.3989898989898993E+03
  -8.3838383838383841E+00   5.9089158832446337E+03   6.0088966589336924E+03   1.1919735857656204E+04   1.1738487951312469E+04   1.1534381692259965E+04   5.3953187709531048E+03   6.0000000000000000E+03   5.9000000000000000E+03   5.4131313131313127E+03
  -8.1818181818181817E+00   5.9091451255620050E+03   6.0091256084642400E+03   1.1920314028395471E+04   1.1739619754089508E+04   1.1536936225145233E+04   5.4090019932464802E+03   6.0000000000000000E+03   5.9000000000000000E+03   5.4272727272727270E+03
  -7.9797979797979792E+00   5.9093861177178260E+03   6.0093663621172818E+03   1.1920926829487464E+04   1.1740837038303478E+04   1.1539745354831030E+04   5.4226616615791791E+03   6.0000000000000000E+03   5.9000000000000000E+03   5.4414141414141413E+03
  -7.7777777777777777E+00   5.9096397566045780E+03   6.0096198332703279E+03   1.1921577417883789E+04   1.1742148761239288E+04   1.1542839361146544E+04   5.4362959656807798E+03   6.0000000000000000E+03   5.9000000000000000E+03   5.4555555555555557E+03
  -7.5757575757575761E+00   5.9099070291953831E+03   6.0098870293959117E+03   1.1922269336396865E+04   1.1743564975409121E+04   1.1546251382322254E+04   5.4499029111057898E+03   6.0000000000000000E+03   5.9000000000000000E+03   5.4696969696969700E+03
  -7.3737373737373737E+00   5.9101890235952596E+03   6.0101690641224704E+03   1.1923006572306040E+04   1.1745096953871500E+04   1.1550017159110197E+04   5.4634802961207752E+03   6.0000000000000000E+03   5.9000000000000000E+03   5.4838383838383834E+03
  -7.1717171717171713E+00   5.9104869416559295E+03   6.0104671711336450E+03   1.1923793626411189E+04   1.1746757318581947E+04   1.1554174513192971E+04   5.4770256851902241E+03   6.0000000000000000E+03   5.9000000000000000E+03   5.4979797979797977E+03
  -6.9696969696969697E+00   5.9108021133939328E+03   6.0107827202270928E+03   1.1924635594604551E+04   1.1748560165069866E+04   1.1558762489073808E+04   5.4905363785003356E+03   6.0000000000000000E+03   5.9000000000000000E+03   5.5121212121212120E+03
  -6.7676767676767682E+00   5.9111360134867982E+03   6.0111172359151897E+03   1.1925538264451608E+04   1.1750521172910618E+04   1.1563820098203707E+04   5.5040093768606393E+03   6.0000000000000000E+03   5.9000000000000000E+03   5.5262626262626263E+03
  -6.5656565656565657E+00   5.9114902801649368E+03   6.0114724190292909E+03   1.1926508229772568E+04   1.1752657686294609E+04   1.1569384628277432E+04   5.5174413412099675E+03   6.0000000000000000E+03   5.9000000000000000E+03   5.5404040404040406E+03
  -6.3636363636363633E+00   5.9118667368547731E+03   6.0118501718735397E+03   1.1927553026789095E+04   1.1754988742301237E+04   1.1575489523639992E+04   5.5308285458171431E+03   6.0000000000000000E+03   5.9000000000000000E+03   5.5545454545454550E+03
  -6.1616161616161618E+00   5.9122674169788479E+03   6.0122526275922055E+03   1.1928681296048175E+04   1.1757535016334674E+04   1.1582161914041420E+04   5.5441668241158150E+03   6.0000000000000000E+03   5.9000000000000000E+03   5.5686868686868684E+03
  -5.9595959595959593E+00   5.9126945923551684E+03   6.0126821845383383E+03   1.1929902975024910E+04   1.1760318645100757E+04   1.1400152605736264E+04   5.5574515059349069E+03   6.0000000000000000E+03   5.9000000000000000E+03   5.5828282828282827E+03
  -5.7575757575757578E+00   5.9131508056788762E+03   6.0131415465974069E+03   1.1931229526985484E+04   1.1763362878811411E+04   1.1407473112867356E+04   5.5706773446934139E+03   6.0000000000000000E+03   5.9000000000000000E+03   5.5969696969696970E+03
  -5.5555555555555554E+00   5.9136389075879488E+03   6.0136337706071063E+03   1.1932674212246427E+04   1.1766691508488766E+04   1.1414332762454418E+04   5.5838384329162145E+03   6.0000000000000000E+03   5.9000000000000000E+03   5.6111111111111113E+03
  -5.3535353535353538E+00   5.9141620988047234E+03   6.0141623222391045E+03   1.1934252408195263E+04   1.1770328015195249E+04   1.1420763324623202E+04   5.5969281042086977E+03   6.0000000000000000E+03   5.9000000000000000E+03   5.6252525252525256E+03
  -5.1515151515151514E+00   5.9147239777905615E+03   6.0147311419813823E+03   1.1935981983998721E+04   1.1774294400850382E+04   1.1426811827187292E+04   5.6099388196219961E+03   6.0000000000000000E+03   5.9000000000000000E+03   5.6393939393939390E+03
  -4.9494949494949498E+00   5.9153285942021321E+03   6.0153447231624232E+03   1.1937883734255796E+04   1.1778609690284808E+04   1.1432542832429855E+04   5.6228620361709400E+03   6.0000000000000000E+03   5.9000000000000000E+03   5.6535353535353534E+03
  -4.7474747474747474E+00   5.9159805081650693E+03   6.0160082043173752E+03   1.1939981872091987E+04   1.1783288144482238E+04   1.1438042801267491E+04   5.6356880551943232E+03   6.0000000000000000E+03   5.9000000000000000E+03   5.6676767676767677E+03
  -4.5454545454545459E+00   5.9166848548903290E+03   6.0167274785817281E+03   1.1942304575065515E+04   1.1788337293479599E+04   1.1443428480043920E+04   5.6484058483462431E+03   6.0000000000000000E+03   5.9000000000000000E+03   5.6818181818181820E+03
  -4.3434343434343434E+00   5.9174474133483172E+03   6.0175093231998844E+03   1.1944884565054770E+04   1.1793755974104530E+04   1.1448862375985122E+04   5.6610028594113955E+03   6.0000000000000000E+03   5.9000000000000000E+03   5.6959595959595963E+03
  -4.1414141414141419E+00   5.9182746764310295E+03   6.0183615526238382E+03   1.1947759683979215E+04   1.1620989383326783E+04   1.1454579744532337E+04   5.6734647810461420E+03   6.0000000000000000E+03   5.9000000000000000E+03   5.7101010101010097E+03
  -3.9393939393939394E+00   5.9191739180415098E+03   6.0192931989560311E+03   1.1950973398941744E+04   1.1628150658575214E+04   1.1460930819136687E+04   5.6857753072450287E+03   6.0000000000000000E+03   5.9000000000000000E+03   5.7242424242424240E+03
  -3.7373737373737379E+00   5.9201532495791125E+03   6.0203147235628476E+03   1.1954575132834190E+04   1.1634892920838887E+04   1.1468428958047643E+04   5.6979158652418782E+03   6.0000000000000000E+03   5.9000000000000000E+03   5.7383838383838383E+03
  -3.5353535353535355E+00   5.9212216539728979E+03   6.0214382633215573E+03   1.1958620273195833E+04   1.1641241986594076E+04   1.1477744246479124E+04   5.7098653352309266E+03   6.0000000000000000E+03   5.9000000000000000E+03   5.7525252525252527E+03
  -3.3333333333333330E+00   5.9223889793786811E+03   6.0226779138436777E+03   1.1963169674229266E+04   1.1647238087048452E+04   1.1489502777920952E+04   5.7215997734443090E+03   6.0000000000000000E+03   5.9000000000000000E+03   5.7666666666666670E+03
  -3.1313131313131315E+00   5.9236658666214835E+03   6.0240500496507930E+03   1.1968288456254033E+04   1.1652938105900581E+04   1.1423828131489843E+04   5.7330921645358039E+03   6.0000000000000000E+03   5.9000000000000000E+03   5.7808080808080804E+03
  -2.9292929292929291E+00   5.9250635744862593E+03   6.0255736769193754E+03   1.1974043955466936E+04   1.1658419036791602E+04   1.1432176472178580E+04   5.7443122435440164E+03   6.0000000000000000E+03   5.9000000000000000E+03   5.7949494949494947E+03
