#       x [dimensionless]               E_01 [MHz]               E_10 [MHz]               E_11 [MHz]               E_20 [MHz]               E_02 [MHz]              E_cav [MHz]                 w1 [MHz]                 w2 [MHz]                 wc [MHz]
  -3.0000000000000000E+00   5.0955415668990991E+03   5.9784283333556596E+03   1.1073697482047895E+04   1.1690555777831207E+04   9.8830447519705976E+03   6.2260300997452441E+03   6.0000000000000000E+03   5.1000000000000000E+03   6.2000000000000000E+03
  -2.9393939393939394E+00   5.1136482379279259E+03   5.9784385483341757E+03   1.1091803543262671E+04   1.1690565412706535E+04   9.9193173233271445E+03   6.2260950319198309E+03   6.0000000000000000E+03   5.1181818181818180E+03   6.2000000000000000E+03
  -2.8787878787878789E+00   5.1317523235685585E+03   5.9784491945063419E+03   1.1109906754580843E+04   1.1690575660175818E+04   9.9555874721981236E+03   6.2261621182888848E+03   6.0000000000000000E+03   5.1363636363636360E+03   6.2000000000000000E+03
  -2.8181818181818183E+00   5.1498536873662306E+03   5.9784602997443653E+03   1.1128006942720633E+04   1.1690586581679454E+04   9.9918551002457316E+03   6.2262314674349691E+03   6.0000000000000000E+03   5.1545454545454540E+03   6.2000000000000000E+03
  -2.7575757575757578E+00   5.1679521830209633E+03   5.9784718943738699E+03   1.1146103918835135E+04   1.1690598247437476E+04   1.0028120103708490E+04   6.2263031953325772E+03   6.0000000000000000E+03   5.1727272727272730E+03   6.2000000000000000E+03
  -2.6969696969696968E+00   5.1860476534744521E+03   5.9784840114495673E+03   1.1164197476533358E+04   1.1690610738168682E+04   1.0064382373019478E+04   6.2263774259852216E+03   6.0000000000000000E+03   5.1909090909090910E+03   6.2000000000000000E+03
  -2.6363636363636362E+00   5.2041399298923789E+03   5.9784966870692442E+03   1.1182287389558514E+04   1.1690624147268376E+04   1.0100641792391551E+04   6.2264542921294342E+03   6.0000000000000000E+03   5.2090909090909090E+03   6.2000000000000000E+03
  -2.5757575757575757E+00   5.2222288305273614E+03   5.9785099607318480E+03   1.1200373409045140E+04   1.1690638583612701E+04   1.0136898239366346E+04   6.2265339360136641E+03   6.0000000000000000E+03   5.2272727272727270E+03   6.2000000000000000E+03
  -2.5151515151515151E+00   5.2403141594454555E+03   5.9785238757473171E+03   1.1218455260254941E+04   1.1690654175242487E+04   1.0173151584322748E+04   6.2266165102617724E+03   6.0000000000000000E+03   5.2454545454545460E+03   6.2000000000000000E+03
  -2.4545454545454546E+00   5.2583957050972240E+03   5.9785384797074512E+03   1.1236532638663804E+04   1.1690671074320890E+04   1.0209401689941151E+04   6.2267021788318161E+03   6.0000000000000000E+03   5.2636363636363640E+03   6.2000000000000000E+03
  -2.3939393939393940E+00   5.2764732387085824E+03   5.9785538250273603E+03   1.1254605205227621E+04   1.1690689464008261E+04   1.0245648410618014E+04   6.2267911180823721E+03   6.0000000000000000E+03   5.2818181818181820E+03   6.2000000000000000E+03
  -2.3333333333333330E+00   5.2945465124663615E+03   5.9785699695723424E+03   1.1272672580604420E+04   1.1690709568363258E+04   1.0281891591826059E+04   6.2268835179612979E+03   6.0000000000000000E+03   5.3000000000000000E+03   6.2000000000000000E+03
